CODE REFERENCE PHOTO,PHOTO,VILLE,CODE POSTAL,ADRESSE ,COORDONNEES GPS DU PANNEAU Y ,COORDONNEES GPS DU PANNEAU X,ANGLE DE VISIBILITE,VISIBLE EN VENANT DE,VISIBLE EN ALLANT A ,VISIBILITE,DISPONIBILITE,FORMAT,SURFACE,TYPE,SUPPORT,LARGEUR EN CM,HAUTEUR EN CM,DATE DE SIGNATURE DU BON DE COMMANDE CLIENT  ,DATE DE FIN DENGAGEMENT  DU BON DE COMMANDE  ,ANNONCEUR
,,ST LAURENT BLANGY,62223,CD 60 (VENANT ZI EST / PROCHE ALDIMARCHE ) ,"50,29254","2,7939",90°,ZI EST,ST LAURENT LOMOTIVE,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,04/08/2022,16/08/2024,EVASION DEVELOPPEMENT
15,#VALEUR !,ST LAURENT BLANGY,62223,RUE DU GENERAL DE GAULLE ,"50,29702","2,80326",90°°,ST LAURENT MAIRIE,ST LAURENT ROSATI,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,17/11/2016,08/12/2025,LA TAVERNE DES GAULOIS
15,#VALEUR !,ST LAURENT BLANGY,62223,RUE DU GENERAL DE GAULLE ,"50,29702","2,80326",90°,ST LAURENT MAIRIE,ST LAURENT ROSATI,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,22/03/2017,24/04/2025,SIO
397,,ST LAURENT BLANGY,62223,RUE LAURENT GERS ,"50,29702","2,80326",90°,ST LAURENT MAIRIE,ST LAURENT ROSATI,DROITE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,28/03/2018,11/04/2025,MARKET ARRAS
,,ST LAURENT BLANGY,62223,RUE LAURENT GERS ,"50,29702","2,80326",90°,ST LAURENT MAIRIE,ST LAURENT ROSATI,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,,,MICROCRECHE
402,,ST LAURENT BLANGY,62223,RUE ESTENNE CAUCHY    (FACE PMU),"50,30059","2,80166",90°,ST LAURENT MAIRIE,ST NICOLAS,DROITE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,22/11/2016,31/12/2024,A2000
404,,ST LAURENT BLANGY,62223,RUE ESTENNE CAUCHY    (FACE PMU),"50,30059","2,80166",90°,ST LAURENT MAIRIE,ST NICOLAS,DROITE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,21/11/2023,31/12/2026,LECLERC ARRADIS
405,,ST LAURENT BLANGY,62223,RUE ESTENNE CAUCHY    (FACE PMU),"50,30059","2,80166",90°,ST LAURENT ZA,ST NICOLAS,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,21/11/2023,31/12/2026,LECLERC ARRADIS
403,,ST LAURENT BLANGY,62223,RUE ESTENNE CAUCHY    (FACE PMU),"50,30059","2,80166",90°,ST LAURENT MAIRIE,ST NICOLAS,DROITE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,"07,06,2017",29/06/2025,PIERRE NOE
406,,ST LAURENT BLANGY,62223,RUE ESTENNE CAUCHY    (FACE PMU),"50,30059","2,80166",90°,ST LAURENT MAIRIE,ST NICOLAS,DROITE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,,,VAPOTE IN PEACE
