CODE REFERENCE PHOTO,PHOTO,VILLE,CODE POSTAL,ADRESSE ,COORDONNEES GPS DU PANNEAU Y ,COORDONNEES GPS DU PANNEAU X,ANGLE DE VISIBILITE,VISIBLE EN VENANT DE,VISIBLE EN ALLANT A ,VISIBILITE,DISPONIBILITE,FORMAT,SURFACE,TYPE,SUPPORT,LARGEUR EN CM,HAUTEUR EN CM,DATE DE SIGNATURE DU BON DE COMMANDE CLIENT  ,DATE DE FIN DENGAGEMENT  DU BON DE COMMANDE  ,ANNONCEUR
354,,ST LAURENT BLANGY,62223,ENTREE ZA DES CHEMINS CROISES FACE SDIS ,"50,30907","2,80291",0°,ENTREE ZA CHEMINS CROISES,SDIS,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,,,CLF SATREM
351,,ST LAURENT BLANGY,62223,ENTREE ZA DES CHEMINS CROISES FACE SDIS ,"50,30907","2,80291",0°,ENTREE ZA CHEMINS CROISES,SDIS,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,,,CLF SATREM
352,,ST LAURENT BLANGY,62223,ENTREE ZA DES CHEMINS CROISES FACE SDIS ,"50,30907","2,80291",0°,ENTREE ZA CHEMINS CROISES,SDIS,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,,,DILIGENCIA
,,ST LAURENT BLANGY ,62223,ENTREE ZA DES CHEMINS CROISES FACE SDIS ,"50,30907","2,80291",0°, ZA CHEMINS CROISES,SDIS,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,29/07/2019,31/08/2025,SPIE
412,,ST LAURENT BLANGY,62223,RUE CHRETIEN LANTOINE ,"50,30431","2,81071",90°,ST LAURENT VERSAILLES,SERVICES TECHNIQUES,GAUCHE,D,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,,,DISPONIBLE
355,,ST LAURENT BLANGY,62223,AVENUE DES DROITS DE L'HOMME ,"50,29432","2,78989",90°,ARRAS MONNET,ST LAURENT ,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,22/11/2016,31/12/2024,A2000
15,#VALEUR !,ST LAURENT BLANGY,62223,RUE DU GENERAL DE GAULLE ,"50,29702","2,80326",90°,ST LAURENT MAIRIE,ST LAURENT  ROSATI ,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,22/11/2016,08/12/2025,CARROSSERIE MANTEL
7B,#VALEUR !,ST LAURENT BLANGY,62223,AVENUE DES DROITS DE L'HOMME DE LOCOMOTIVE VERS ARTOIS EXPO,"50,29432","2,78989",90°,ARRAS MONNET,ST LAURENT ARTOIS EXPO,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,"08,11,2016","22,11,2025",FUNNY PARC
,#VALEUR !,ST LAURENT BLANGY,62223,AVENUE DES DROITS DE L'HOMME DE MONNET VERS ARTOIS EXPO,"50,29432","2,78989",90°,ARRAS MONNET,ST LAURENT ARTOIS EXPO,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,02/09/2016,22/01/2026,ACE HOTEL
ARMURERIE PBG 62 20220817_122531,#VALEUR !,ST LAURENT BLANGY,62223,AVENUE DES DROITS DE L'HOMME DE MONNET VERS ARTOIS EXPO,"50,29432","2,78989",90°,ARRAS MONNET,ST LAURENT ARTOIS EXPO,GAUCHE,D,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,,,DISPONIBLE
ARMURERIE PBG 62 20220817_122531,#VALEUR !,ST LAURENT BLANGY,62223,AVENUE DES DROITS DE L'HOMME DE MONNET VERS ARTOIS EXPO,"50,29432","2,78989",90°,ARRAS MONNET,ST LAURENT ARTOIS EXPO,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,22/11/2016,08/12/2025,CARROSSERIE MANTEL
ARMURERIE PBG 62 20220817_122531,#VALEUR !,ST LAURENT BLANGY,62223,AVENUE DES DROITS DE L'HOMME DE MONNET VERS ARTOIS EXPO,"50,29432","2,78989",90°,ARRAS MONNET,ST LAURENT ARTOIS EXPO,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,"08,11,2016","22,11,2025",FUNNY PARC
ARMURERIE PBG 62 20220817_122531,#VALEUR !,ST LAURENT BLANGY,62223,AVENUE DES DROITS DE L'HOMME DE MONNET VERS ARTOIS EXPO,"50,29432","2,78989",90°,ARRAS MONNET,ST LAURENT ARTOIS EXPO,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,17/11/2016,08/12/2025,LA TAVERNE DES GAULOIS
ARMURERIE PBG 62 20220817_122531,#VALEUR !,ST LAURENT BLANGY,62223,AVENUE DES DROITS DE L'HOMME DE MONNET VERS ARTOIS EXPO,"50,29432","2,78989",90°,ARRAS MONNET,ST LAURENT ARTOIS EXPO,GAUCHE,ND,SIGNALETIQUE LOCALE,"0,1M2",SIL,LAME,100,12,21/11/2023,31/12/2026,LECLERC ARRADIS
